colonia_ecobici,alcaldia,denue_nomb_asent,colonias_cdmx_nomut
Roma Norte,Cuauhtemoc,ROMA NORTE,ROMA NORTE I
Roma Norte,Cuauhtemoc,ROMA NORTE,ROMA NORTE II
Roma Norte,Cuauhtemoc,ROMA NORTE,ROMA NORTE III
Centro,Cuauhtemoc,CENTRO,CENTRO I
Centro,Cuauhtemoc,CENTRO,CENTRO II
Centro,Cuauhtemoc,CENTRO,CENTRO III
Centro,Cuauhtemoc,CENTRO,CENTRO IV
Centro,Cuauhtemoc,CENTRO,CENTRO V
Juarez,Cuauhtemoc,JUAREZ,JUAREZ
Cuauhtemoc,Cuauhtemoc,CUAUHTEMOC,CUAUHTEMOC
Hipodromo,Cuauhtemoc,HIPODROMO,HIPODROMO I
Hipodromo,Cuauhtemoc,HIPODROMO,HIPODROMO II
Polanco,Miguel Hidalgo,POLANCO,CHAPULTEPEC MORALES (POLANCO)
Polanco,Miguel Hidalgo,POLANCO,CHAPULTEPEC POLANCO (POLANCO)
Polanco,Miguel Hidalgo,POLANCO,DEL BOSQUE (POLANCO)
Polanco,Miguel Hidalgo,POLANCO,BOSQUES DE CHAPULTEPEC (POLANCO)
Polanco,Miguel Hidalgo,POLANCO,LOS MORALES (POLANCO)
Polanco,Miguel Hidalgo,POLANCO,MORALES SECCION ALAMEDA (POLANCO)
Polanco,Miguel Hidalgo,POLANCO,MORALES SECCION PALMAS (POLANCO)
Polanco,Miguel Hidalgo,POLANCO,PALMITAS (POLANCO)
Polanco,Miguel Hidalgo,POLANCO,POLANCO REFORMA (POLANCO)
Santa Maria la Ribera,Cuauhtemoc,SANTA MARIA LA RIBERA,SANTA MARIA LA RIBERA I
Santa Maria la Ribera,Cuauhtemoc,SANTA MARIA LA RIBERA,SANTA MARIA LA RIBERA II
Santa Maria la Ribera,Cuauhtemoc,SANTA MARIA LA RIBERA,SANTA MARIA LA RIBERA IV
Buenavista,Cuauhtemoc,BUENAVISTA,BUENAVISTA I
Buenavista,Cuauhtemoc,BUENAVISTA,BUENAVISTA II
Condesa,Cuauhtemoc,CONDESA,CONDESA
Roma Sur,Cuauhtemoc,ROMA SUR,ROMA SUR I
Roma Sur,Cuauhtemoc,ROMA SUR,ROMA SUR II
San Rafael,Cuauhtemoc,SAN RAFAEL,SAN RAFAEL I
San Rafael,Cuauhtemoc,SAN RAFAEL,SAN RAFAEL II
Del Valle Norte,Benito Juarez,DEL VALLE NORTE,
Doctores,Cuauhtemoc,DOCTORES,DOCTORES I
Doctores,Cuauhtemoc,DOCTORES,DOCTORES II
Doctores,Cuauhtemoc,DOCTORES,DOCTORES III
Doctores,Cuauhtemoc,DOCTORES,DOCTORES IV
Doctores,Cuauhtemoc,DOCTORES,DOCTORES V
Escandon,Miguel Hidalgo,ESCANDON,ESCANDON I
Escandon,Miguel Hidalgo,ESCANDON,ESCANDON II
Narvarte Poniente,Benito Juarez,NARVARTE PONIENTE,
Del Valle Sur,Benito Juarez,DEL VALLE SUR,
Obrera,Cuauhtemoc,OBRERA,OBRERA I
Obrera,Cuauhtemoc,OBRERA,OBRERA II
Obrera,Cuauhtemoc,OBRERA,OBRERA III
Obrera,Cuauhtemoc,OBRERA,OBRERA IV
San Pedro de los Pinos,Benito Juarez,SAN PEDRO DE LOS PINOS,SAN PEDRO DE LOS  PINOS
Tabacalera,Cuauhtemoc,TABACALERA,TABACALERA
Hipodromo Condesa,Cuauhtemoc,HIPODROMO CONDESA,HIPODROMO CONDESA
Portales,Benito Juarez,PORTALES,PORTALES I
Portales,Benito Juarez,PORTALES,PORTALES II
Portales,Benito Juarez,PORTALES,PORTALES III
Portales,Benito Juarez,PORTALES,PORTALES IV
Narvarte,Benito Juarez,NARVARTE,NARVARTE I
Narvarte,Benito Juarez,NARVARTE,NARVARTE II
Narvarte,Benito Juarez,NARVARTE,NARVARTE III
Narvarte,Benito Juarez,NARVARTE,NARVARTE IV
Narvarte,Benito Juarez,NARVARTE,NARVARTE V
Napoles,Benito Juarez,NAPOLES,NAPOLES
Napoles,Benito Juarez,NAPOLES,NAPOLES (AMPL)
Anahuac,Miguel Hidalgo,ANAHUAC,ANAHUAC I
Anahuac,Miguel Hidalgo,ANAHUAC,ANAHUAC II
Del Valle Centro,Benito Juarez,DEL VALLE CENTRO,
Anzures,Miguel Hidalgo,ANZURES,ANZURES
Bosque de Chapultepec,Miguel Hidalgo,BOSQUE DE CHAPULTEPEC,
San Miguel Chapultepec,Miguel Hidalgo,SAN MIGUEL CHAPULTEPEC,SAN MIGUEL CHAPULTEPEC I
San Miguel Chapultepec,Miguel Hidalgo,SAN MIGUEL CHAPULTEPEC,SAN MIGUEL CHAPULTEPEC II
Santa Cruz Atoyac,Benito Juarez,SANTA CRUZ ATOYAC,
Alamos,Benito Juarez,ALAMOS,ALAMOS I
Alamos,Benito Juarez,ALAMOS,ALAMOS II
Algarin,Cuauhtemoc,ALGARIN,ALGARIN
Insurgentes Mixcoac,Benito Juarez,INSURGENTES MIXCOAC,INSURGENTES MIXCOAC
Granada,Miguel Hidalgo,GRANADA,GRANADA
Granada,Miguel Hidalgo,GRANADA,GRANADA (AMPL)
Anahuac I Seccion,Miguel Hidalgo,ANAHUAC I SECCION,
General Pedro Maria Anaya,Benito Juarez,GENERAL PEDRO MARIA ANAYA,GENERAL PEDRO MARIA ANAYA
Actipan,Benito Juarez,ACTIPAN,ACTIPAN
San Jose Insurgentes,Benito Juarez,SAN JOSE INSURGENTES,SAN JOSE INSURGENTES
Agricultura,Miguel Hidalgo,AGRICULTURA,AGRICULTURA
Vertiz Narvarte,Benito Juarez,VERTIZ NARVARTE,VERTIZ NARVARTE
Tlaxpana,Miguel Hidalgo,TLAXPANA,TLAXPANA
Veronica Anzures,Miguel Hidalgo,VERONICA ANZURES,VERONICA ANZURES
Atlampa,Cuauhtemoc,ATLAMPA,ATLAMPA
Tlacoquemecatl del Valle,Benito Juarez,TLACOQUEMECATL DEL VALLE,TLACOQUEMECATL DEL VALLE
Claveria,Azcapotzalco,CLAVERIA,CLAVERIA
Ciudad de los Deportes,Benito Juarez,CIUDAD DE LOS DEPORTES,CIUDAD DE LOS DEPORTES
Acacias,Benito Juarez,ACACIAS,ACACIAS
Ampliacion Napoles,Benito Juarez,AMPLIACION NAPOLES,
Nonoalco,Benito Juarez,NONOALCO,NONOALCO
San Simon Ticumac,Benito Juarez,SAN SIMON TICUMAC,SAN SIMON TICUMAC
Santa Catarina,Coyoacan,SANTA CATARINA,SANTA CATARINA (BARR)
Ampliacion Granada,Miguel Hidalgo,AMPLIACION GRANADA,
Popotla,Miguel Hidalgo,POPOTLA,POPOTLA I
Popotla,Miguel Hidalgo,POPOTLA,POPOTLA II
Del valle Centro,Benito Juarez,DEL VALLE CENTRO,
Noche Buena,Benito Juarez,NOCHE BUENA,NOCHE BUENA
Portales Norte,Benito Juarez,PORTALES NORTE,
Del Carmen,Coyoacan,DEL CARMEN,DEL CARMEN
Niños Heroes de Chapultepec,Benito Juarez,NINOS HEROES DE CHAPULTEPEC,NIÑOS HEROES DE CHAPULTEPEC
Extremadura Insurgentes,Benito Juarez,EXTREMADURA INSURGENTES,EXTREMADURA INSURGENTES
Piedad Narvarte,Benito Juarez,PIEDAD NARVARTE,PIEDAD NARVARTE
Insurgentes San Borja,Benito Juarez,INSURGENTES SAN BORJA,INSURGENTES SAN BORJA
Irrigacion,Miguel Hidalgo,IRRIGACION,IRRIGACION
Tacuba,Miguel Hidalgo,TACUBA,TACUBA
Xoco,Benito Juarez,XOCO,XOCO
Letran Valle,Benito Juarez,LETRAN VALLE,LETRAN VALLE
Postal,Benito Juarez,POSTAL,POSTAL
Americas Unidas,Benito Juarez,AMERICAS UNIDAS,
Centro Urbano Presidente Aleman,Benito Juarez,,CENTRO URBANO PRESIDENTE ALEMAN (U HAB)
Cuauhtemoc Pensil,Miguel Hidalgo,CUAUHTEMOC PENSIL,CUAUHTEMOC PENSIL
Independencia,Benito Juarez,INDEPENDENCIA,INDEPENDENCIA
San Alvaro,Azcapotzalco,SAN ALVARO,SAN ALVARO
Angel Zimbron,Azcapotzalco,ANGEL ZIMBRON,ANGEL ZIMBRON
Nueva Santa Maria,Azcapotzalco,NUEVA SANTA MARIA,NUEVA SANTA MARIA
Victoria de las Democracias,Azcapotzalco,VICTORIA DE LAS DEMOCRACIAS,VICTORIA DE LAS DEMOCRACIAS
Residencial Emperadores,Benito Juarez,RESIDENCIAL EMPERADORES,RESIDENCIAL EMPERADORES
Josefa Ortiz de Dominguez,Benito Juarez,JOSEFA ORTIZ DE DOMINGUEZ,JOSEFA ORTIZ DE DOMINGUEZ
Mariano Escobedo,Miguel Hidalgo,MARIANO ESCOBEDO,
Villa Coyoacan,Coyoacan,VILLA COYOACAN,VILLA COYOACAN
Florida,Alvaro Obregon,FLORIDA,FLORIDA
Nextitla,Miguel Hidalgo,NEXTITLA,NEXTITLA
Guadalupe Chimalistac,Alvaro Obregon,,
Tlatilco,Azcapotzalco,TLATILCO,TLATILCO
Tlatilco,Azcapotzalco,TLATILCO,TLATILCO (U HAB)
Plutarco Elias Calles,Miguel Hidalgo,PLUTARCO ELIAS CALLES,PLUTARCO ELIAS CALLES
Credito Constructor,Benito Juarez,CREDITO CONSTRUCTOR,CREDITO CONSTRUCTOR
Modelo Pensil,Miguel Hidalgo,MODELO PENSIL,MODELO PENSIL
San Mateo,Coyoacan,SAN MATEO,SAN MATEO (BARR)
Santo Tomas,Miguel Hidalgo,SANTO TOMAS,SANTO TOMAS
Lomas de Chapultepec Seccion III,Miguel Hidalgo,,
San Salvador Xochimanca,Azcapotzalco,SAN SALVADOR XOCHIMANCA,SAN SALVADOR XOCHIMANCA
Del Recreo,Azcapotzalco,DEL RECREO,DEL RECREO
Sector Naval,Azcapotzalco,SECTOR NAVAL,SECTOR NAVAL
Polanco Seccion I/ Los Morales,Miguel Hidalgo,,
San Diego Churubusco,Coyoacan,SAN DIEGO CHURUBUSCO,SAN DIEGO CHURUBUSCO
Lomas de Chapultepec Seccion IV/Lomas Virreyes,Miguel Hidalgo,,
Axotla,Alvaro Obregon,AXOTLA,AXOTLA
Lomas de Chapultepec Seccion V,Miguel Hidalgo,,
Ignacio Allende,Azcapotzalco,IGNACIO ALLENDE,IGNACIO ALLENDE
Guadalupe Inn,Alvaro Obregon,GUADALUPE INN,GUADALUPE INN
Parque San Andres,Coyoacan,PARQUE SAN ANDRES,PARQUE SAN ANDRES
Obrero Popular,Azcapotzalco,OBRERO POPULAR,OBRERO POPULAR
Hogar y Seguridad,Azcapotzalco,HOGAR Y SEGURIDAD,
Un Hogar para Nosotros,Miguel Hidalgo,UN HOGAR PARA NOSOTROS,UN HOGAR PARA NOSOTROS
Unidad Habitacional Cuitláhuac,Azcapotzalco,,
Barrio la Concepcion,Coyoacan,,
Barrio San Lucas,Coyoacan,BARRIO SAN LUCAS,
Agricola,Alvaro Obregon,AGRICOLA,
San Angel,Alvaro Obregon,SAN ANGEL,SAN ANGEL
Molino del Rey,Miguel Hidalgo,MOLINO DEL REY,MOLINO DEL REY
